postcode,postcode_introduced,postcode_terminated,lat,long
E11 1PA,198001,200007,51.584393,0.026455
E11 1PB,198001,,51.583693,0.024807
E11 1PD,198001,,51.584817,0.025362
E11 1PE,198001,,51.582346,0.02066
E11 1PF,198001,,51.583964,0.022767
E11 1PG,198001,,51.584958,0.0229
E11 1PN,198001,,51.58471,0.023221
E11 1PP,198001,,51.573969,0.017679
E11 1PQ,198001,,51.583533,0.016904
E11 1PR,198001,,51.574386,0.018
E11 1PS,198001,,51.577899,0.018185
E11 1PT,198001,,51.57883,0.018977
E11 1PU,198402,,51.581319,0.019578
E11 1PW,198106,,51.582491,0.02204
E11 1PX,198001,,51.58006,0.01906
E11 1PY,198001,,51.579642,0.01933
E11 1PZ,198001,,51.580452,0.020319
E11 1QA,198001,,51.580794,0.020825
E11 1QB,198001,,51.581269,0.020398
E11 1QD,200308,,51.580228,0.020814
E11 1QE,198001,,51.580985,0.021237
E11 1QF,198001,,51.581606,0.021221
E11 1QG,198001,199612,51.581553,0.020613
E11 1QH,198001,,51.58082,0.0225
E11 1QJ,198001,,51.580953,0.022578
E11 1QL,198001,,51.582034,0.023492
E11 1QN,198001,,51.582123,0.02302
E11 1QQ,198001,,51.580727,0.022669
E11 1QW,199007,,51.581017,0.017284
E11 1QX,199712,,51.583175,0.023586
E11 1SA,198001,,51.576709,0.017829
E11 1SB,198504,199507,51.580655,0.020573
E11 1SP,198106,,51.583879,0.016631
E11 1SR,198607,,51.583513,0.018592
E11 1SS,198704,,51.584216,0.024239
E11 1SU,199606,,51.58177,0.021618
E11 1SW,201808,,51.584018,0.02173
E11 1SX,199002,,51.585346,0.024895
E11 1SY,199002,,51.587014,0.02624
E11 1SZ,199002,,51.586567,0.025585
E11 1UH,199806,,51.584316,0.026769
E11 1UJ,199606,,51.584474,0.026459
E11 1UL,199501,,51.584437,0.028088
E11 1UP,199501,,51.583803,0.025722
E11 1UR,199501,,51.583819,0.025852
E11 1US,199501,,51.583927,0.025886
E11 1UT,199501,,51.583797,0.026068
E11 1UU,199501,,51.583704,0.027334
E11 1UX,199507,,51.584474,0.027527
E11 1WD,200302,200508,51.584474,0.027527
E11 1WE,200206,200307,51.584474,0.027527
E11 1WF,200205,200308,51.584474,0.027527
E11 1WJ,200302,200509,51.584474,0.027527
E11 1WL,200303,200305,51.584474,0.027527
E11 1WP,200112,200310,51.584474,0.027527
E11 1WX,200311,200406,51.584474,0.027527
E11 1YJ,200012,200104,51.584474,0.027527
E11 2AA,198001,,51.579656,0.024395
E11 2AB,198001,,51.578966,0.02568
E11 2AD,198001,201407,51.578719,0.025928
E11 2AE,198001,,51.578238,0.02621
E11 2AF,198001,201605,51.578157,0.026192
E11 2AG,198001,,51.577808,0.026624
E11 2AH,198001,,51.578277,0.025505
E11 2AJ,198001,,51.578614,0.02526
E11 2AL,198001,,51.580068,0.024372
E11 2AN,198001,,51.579883,0.025172
E11 2AP,198001,,51.581521,0.024047
E11 2AQ,198001,,51.578105,0.025555
E11 2AR,198001,,51.582152,0.024999
E11 2AS,198001,,51.581909,0.026041
E11 2AT,198001,,51.581232,0.025273
E11 2AU,198001,,51.581953,0.02561
E11 2AW,198001,,51.580455,0.023812
E11 2AX,198001,,51.58303,0.026755
E11 2AY,198001,,51.581615,0.026938
E11 2AZ,198001,,51.581712,0.026552
E11 2BA,198001,199612,51.576961,0.026182
E11 2BB,198001,,51.577845,0.026553
E11 2BD,198301,,51.580991,0.023532
E11 2BE,200607,,51.584832,0.036969
E11 2BG,198001,,51.585413,0.026775
E11 2BH,198001,,51.585339,0.028951
E11 2BJ,198001,,51.583479,0.030947
E11 2BL,198001,,51.58297,0.03179
E11 2BN,198001,,51.58256,0.031613
E11 2BP,198001,,51.582704,0.033655
E11 2BQ,198001,,51.58429,0.029843
E11 2BS,198001,,51.58333,0.034361
E11 2BT,198001,,51.582982,0.036265
E11 2BU,198001,,51.583109,0.036762
E11 2BW,198001,,51.583463,0.03187
E11 2BX,198001,,51.581186,0.036142
E11 2BY,198001,,51.581555,0.036158
E11 2BZ,198001,,51.582653,0.035053
E11 2DA,198001,,51.582718,0.03442
E11 2DB,198001,,51.583871,0.034818
E11 2DD,198001,,51.584228,0.032886
